file_number,api_number,operator_name,township,township_bearing,range,range_bearing,section,state,field_name,effective_on,action_type,slant,target_formation,elevation,depth,countyfips,well_status
1792232391,4900928327,EOG RESOURCES INC,39,N,72,W,20,WY,DILTS,20140514,Approved,H,PARKMAN,4846,12618,56009,Active Permit
1505379922,4900928636,EOG RESOURCES INC,40,N,72,W,24,WY,MARYS DRAW,20140514,Approved,H,PARKMAN,4720,11467,56009,Active Permit
1505379922,4900928636,EOG RESOURCES INC,40,N,72,W,24,WY,MARYS DRAW,20140514,Approved,H,PARKMAN,4720,11467,56009,Active Permit
1226041699,4901929947,BILL BARRETT CORPORATION,49,N,78,W,22,WY,WARDNER RANCH FEDERAL,20140514,Approved,H,SHANNON,4485,13583,56019,Active Permit
1226041699,4901929947,BILL BARRETT CORPORATION,49,N,78,W,22,WY,WARDNER RANCH FEDERAL,20140514,Approved,H,SHANNON,4485,13583,56019,Active Permit
1401333563,4900561767,TRUE OIL LLC,43,N,73,W,23,WY,SKYLINE FEDERAL,20140514,Approved,H,TURNER,5063,15176,56005,Active Permit
1401333563,4900561767,TRUE OIL LLC,43,N,73,W,23,WY,SKYLINE FEDERAL,20140514,Approved,H,TURNER,5063,15176,56005,Active Permit
477173676,4902121160,EOG RESOURCES INC,13,N,65,W,23,WY,JUBILEE,20140514,Approved,H,NIOBRARA,5910,18640,56021,Active Permit
477173676,4902121160,EOG RESOURCES INC,13,N,65,W,11,WY,JUBILEE,20140514,Approved,H,NIOBRARA,5910,18640,56021,Active Permit
335338129,4902121168,EOG RESOURCES INC,13,N,65,W,21,WY,JUBILEE,20140514,Approved,V,NIOBRARA,5938,8374,56021,Confidential Well Status
335338129,4902121168,EOG RESOURCES INC,13,N,65,W,28,WY,JUBILEE,20140514,Approved,V,NIOBRARA,5938,8374,56021,Confidential Well Status
1093170869,4901930067,BLACK HILLS EXPLORATION & PRODUCTION INC,46,N,80,W,14,WY,EKLUND,20140514,Approved,H,NIOBRARA,4747,22369,56019,Active Permit
1093170869,4901930067,BLACK HILLS EXPLORATION & PRODUCTION INC,46,N,80,W,2,WY,EKLUND,20140514,Approved,H,NIOBRARA,4747,22369,56019,Active Permit
717397803,4900562365,CARRIZO OIL & GAS INC,52,N,74,W,29,WY,MOONEY DRAW,20140514,Approved,H,MUDDY,4536,13645,56005,Active Permit
717397803,4900562365,CARRIZO OIL & GAS INC,52,N,74,W,29,WY,MOONEY DRAW,20140514,Approved,H,MUDDY,4536,13645,56005,Active Permit
348751935,4900928336,EOG RESOURCES INC,39,N,72,W,20,WY,JENNE,20140514,Approved,V,NIOBRARA,4846,10862,56009,Confidential Well Status
348751935,4900928336,EOG RESOURCES INC,39,N,72,W,20,WY,JENNE,20140514,Approved,V,NIOBRARA,4846,10862,56009,Confidential Well Status
601317424,4900928638,EOG RESOURCES INC,40,N,72,W,24,WY,MARYS DRAW,20140514,Approved,V,TURNER,4720,10693,56009,Confidential Well Status
601317424,4900928638,EOG RESOURCES INC,40,N,72,W,24,WY,MARYS DRAW,20140514,Approved,V,TURNER,4720,10693,56009,Confidential Well Status
1640291052,4900928640,EOG RESOURCES INC,40,N,72,W,23,WY,MARYS DRAW,20140514,Approved,V,TURNER,4696,10442,56009,Confidential Well Status
1640291052,4900928640,EOG RESOURCES INC,40,N,72,W,14,WY,MARYS DRAW,20140514,Approved,V,TURNER,4696,10442,56009,Confidential Well Status
1564576462,4900929698,BLACK BISON #1 LEMAY SWD LLC,37,N,70,W,15,WY,1,20140514,Approved,V,TECKLA,4728,7000,56009,Active Permit
190105606,4902121173,EOG RESOURCES INC,13,N,65,W,24,WY,JUBILEE,20140514,Approved,H,CODELL,5894,17919,56021,Active Permit
190105606,4902121173,EOG RESOURCES INC,13,N,65,W,25,WY,JUBILEE,20140514,Approved,H,CODELL,5894,17919,56021,Active Permit
70011464,4900929117,EOG RESOURCES INC,40,N,72,W,3,WY,MARYS DRAW,20140515,Approved,H,PARKMAN,4740,18102,56009,Active Permit
70011464,4900929117,EOG RESOURCES INC,40,N,72,W,10,WY,MARYS DRAW,20140515,Approved,H,PARKMAN,4740,18102,56009,Active Permit
1695170517,4900929090,ANADARKO E&P ONSHORE LLC,33,N,67,W,7,WY,TRINITY FEE,20140515,Approved,V,FRONTIER,5172,9775,56009,Confidential Well Status
1695170517,4900929090,ANADARKO E&P ONSHORE LLC,33,N,67,W,7,WY,TRINITY FEE,20140515,Approved,V,FRONTIER,5172,9775,56009,Confidential Well Status
971379614,4902121130,CIRQUE RESOURCES LP,15,N,66,W,25,WY,KATAMA,20140515,Approved,H,CODELL,6027,13374,56021,Active Permit
971379614,4902121130,CIRQUE RESOURCES LP,15,N,66,W,25,WY,KATAMA,20140515,Approved,H,CODELL,6027,13374,56021,Active Permit
281521023,4900929087,SAMSON RESOURCES COMPANY,38,N,73,W,33,WY,HB R2D2 FEE,20140515,Approved,H,MUDDY,5105,13638,56009,Active Permit
281521023,4900929087,SAMSON RESOURCES COMPANY,38,N,73,W,33,WY,HB R2D2 FEE,20140515,Approved,H,MUDDY,5105,13638,56009,Active Permit
1623538226,4900929663,SAMSON RESOURCES COMPANY,36,N,74,W,6,WY,HORNBUCKLE FEDERAL,20140515,Approved,H,FRONTIER,5510,17331,56009,Active Permit
1623538226,4900929663,SAMSON RESOURCES COMPANY,36,N,74,W,6,WY,HORNBUCKLE FEDERAL,20140515,Approved,H,FRONTIER,5510,17331,56009,Active Permit
1594810823,4900929665,SAMSON RESOURCES COMPANY,38,N,74,W,3,WY,BRUSHY CREEK FEDERAL,20140515,Approved,H,FRONTIER,5349,16880,56009,Active Permit
1594810823,4900929665,SAMSON RESOURCES COMPANY,38,N,74,W,3,WY,BRUSHY CREEK FEDERAL,20140515,Approved,H,FRONTIER,5349,16880,56009,Active Permit
864470776,4900561488,PETRO-HUNT LLC,43,N,72,W,1,WY,MERRITT,20140515,Approved,V,TURNER,4983,9671,56005,Confidential Well Status
864470776,4900561488,PETRO-HUNT LLC,43,N,72,W,2,WY,MERRITT,20140515,Approved,V,TURNER,4983,9671,56005,Confidential Well Status
735443621,4900561495,PETRO-HUNT LLC,44,N,72,W,1,WY,USA,20140515,Approved,V,TURNER,4866,9144,56005,Confidential Well Status
735443621,4900561495,PETRO-HUNT LLC,44,N,72,W,12,WY,USA,20140515,Approved,V,TURNER,4866,9144,56005,Confidential Well Status
376149445,4900561496,PETRO-HUNT LLC,44,N,71,W,5,WY,USA,20140515,Approved,V,TURNER,4927,9030,56005,Confidential Well Status
376149445,4900561496,PETRO-HUNT LLC,44,N,71,W,8,WY,USA,20140515,Approved,V,TURNER,4927,9030,56005,Confidential Well Status
1537524129,4901929745,ANADARKO E&P ONSHORE LLC,43,N,77,W,9,WY,MOJAVE FED,20140515,Approved,V,SHANNON,4664,10076,56019,Confidential Well Status
1537524129,4901929745,ANADARKO E&P ONSHORE LLC,43,N,77,W,9,WY,MOJAVE FED,20140515,Approved,V,SHANNON,4664,10076,56019,Confidential Well Status
370339453,4900561809,TRUE OIL LLC,43,N,73,W,23,WY,SKYLINE FEDERAL,20140516,Approved,H,TURNER,5043,15152,56005,Active Permit
370339453,4900561809,TRUE OIL LLC,43,N,73,W,23,WY,SKYLINE FEDERAL,20140516,Approved,H,TURNER,5043,15152,56005,Active Permit
637148874,4901929176,ANADARKO E&P ONSHORE LLC,50,N,78,W,29,WY,BDU FED,20140516,Approved,V,BIG GEORGE COAL,4456,2380,56019,Active Permit
1533578229,4901929198,ANADARKO E&P ONSHORE LLC,50,N,79,W,26,WY,BDU FED,20140516,Approved,V,BIG GEORGE COAL,4586,2500,56019,Active Permit
1047286791,4900929667,EOG RESOURCES INC,40,N,72,W,3,WY,MARYS DRAW,20140516,Approved,H,PARKMAN,4740,15639,56009,Active Permit
1047286791,4900929667,EOG RESOURCES INC,40,N,72,W,10,WY,MARYS DRAW,20140516,Approved,H,PARKMAN,4740,15639,56009,Active Permit
26378823,4903729318,SAMSON RESOURCES COMPANY,15,N,95,W,30,WY,ENDURANCE,20140516,Approved,H,FORT UNION,6674,15198,56037,Active Permit
26378823,4903729318,SAMSON RESOURCES COMPANY,15,N,95,W,31,WY,ENDURANCE,20140516,Approved,H,FORT UNION,6674,15198,56037,Active Permit
171933782,4903729316,SAMSON RESOURCES COMPANY,15,N,95,W,30,WY,ENDURANCE,20140516,Approved,H,FORT UNION,6674,14661,56037,Active Permit
171933782,4903729316,SAMSON RESOURCES COMPANY,15,N,95,W,31,WY,ENDURANCE,20140516,Approved,H,FORT UNION,6674,14661,56037,Active Permit
505953264,4901929220,ANADARKO E&P ONSHORE LLC,50,N,79,W,27,WY,BDU FED,20140516,Approved,V,BIG GEORGE COAL,4637,2500,56019,Active Permit
38667288,4901930053,PEAK POWDER RIVER RESOURCES LLC,43,N,76,W,29,WY,DRY FORK,20140516,Approved,H,SHANNON,4829,14143,56019,Active Permit
38667288,4901930053,PEAK POWDER RIVER RESOURCES LLC,43,N,76,W,29,WY,DRY FORK,20140516,Approved,H,SHANNON,4829,14143,56019,Active Permit
2056334848,4903729317,SAMSON RESOURCES COMPANY,15,N,95,W,30,WY,ENDURANCE,20140516,Approved,H,FORT UNION,6674,13848,56037,Active Permit
2056334848,4903729317,SAMSON RESOURCES COMPANY,15,N,95,W,20,WY,ENDURANCE,20140516,Approved,H,FORT UNION,6674,13848,56037,Active Permit
942252510,4901929212,ANADARKO E&P ONSHORE LLC,50,N,79,W,34,WY,BDU FED,20140516,Approved,V,BIG GEORGE COAL,4598,2500,56019,Active Permit
1653020001,4901930055,PEAK POWDER RIVER RESOURCES LLC,43,N,76,W,29,WY,DRY FORK,20140516,Approved,H,NIOBRARA,4827,15517,56019,Active Permit
1653020001,4901930055,PEAK POWDER RIVER RESOURCES LLC,43,N,76,W,29,WY,DRY FORK,20140516,Approved,H,NIOBRARA,4827,15517,56019,Active Permit
1778658869,4900561836,EOG RESOURCES INC,42,N,73,W,26,WY,FLATBOW,20140516,Approved,H,MOWRY,5100,15943,56005,Confidential Well Status
1778658869,4900561836,EOG RESOURCES INC,42,N,73,W,26,WY,FLATBOW,20140516,Approved,H,MOWRY,5100,15943,56005,Confidential Well Status
936980423,4900561796,PEAK POWDER RIVER RESOURCES LLC,44,N,75,W,33,WY,PUMPKIN BUTTES,20140516,Approved,H,SHANNON,5435,15023,56005,Active Permit
936980423,4900561796,PEAK POWDER RIVER RESOURCES LLC,43,N,75,W,4,WY,PUMPKIN BUTTES,20140516,Approved,H,SHANNON,5435,15023,56005,Active Permit
2015659258,4901930054,PEAK POWDER RIVER RESOURCES LLC,43,N,76,W,29,WY,DRY FORK,20140516,Approved,H,MOWRY,4827,16953,56019,Active Permit
2015659258,4901930054,PEAK POWDER RIVER RESOURCES LLC,43,N,76,W,29,WY,DRY FORK,20140516,Approved,H,MOWRY,4827,16953,56019,Active Permit
1275707737,4900929658,MBI OIL& GAS LLC,36,N,68,W,22,WY,RANKIN,20140516,Approved,H,TEAPOT,4696,10771,56009,Active Permit
1275707737,4900929658,MBI OIL& GAS LLC,36,N,68,W,22,WY,RANKIN,20140516,Approved,H,TEAPOT,4696,10771,56009,Active Permit
1255509305,4901930058,PEAK POWDER RIVER RESOURCES LLC,43,N,76,W,29,WY,DRY FORK,20140516,Approved,H,TURNER,4828,16007,56019,Active Permit
1255509305,4901930058,PEAK POWDER RIVER RESOURCES LLC,43,N,76,W,29,WY,DRY FORK,20140516,Approved,H,TURNER,4828,16007,56019,Active Permit
174797261,4903729319,SAMSON RESOURCES COMPANY,15,N,95,W,30,WY,ENDURANCE,20140516,Approved,H,FORT UNION,6674,13508,56037,Active Permit
174797261,4903729319,SAMSON RESOURCES COMPANY,15,N,95,W,20,WY,ENDURANCE,20140516,Approved,H,FORT UNION,6674,13508,56037,Active Permit
611290714,4903729320,SAMSON RESOURCES COMPANY,15,N,95,W,30,WY,ENDURANCE,20140516,Approved,H,FORT UNION,6674,13219,56037,Active Permit
611290714,4903729320,SAMSON RESOURCES COMPANY,15,N,95,W,20,WY,ENDURANCE,20140516,Approved,H,FORT UNION,6674,13219,56037,Active Permit
1007844237,4901929218,ANADARKO E&P ONSHORE LLC,50,N,79,W,27,WY,BDU FED,20140516,Approved,V,BIG GEORGE COAL,4605,2500,56019,Active Permit
1095907448,4901323434,DEVON ENERGY PRODUCTION COMPANY LP,33,N,96,W,16,WY,BCU,20140519,Approved,H,MADISON,5267,12505,56013,Active Permit
1095907448,4901323434,DEVON ENERGY PRODUCTION COMPANY LP,33,N,96,W,15,WY,BCU,20140519,Approved,H,MADISON,5267,12505,56013,Active Permit
492132444,4900724477,WARREN E & P INC,17,N,90,W,18,WY,DM FEE,20140519,Approved,V,"ALLEN RIDGE,ALMOND,PINE RIDGE",7016,1350,56007,Pumping Rods
663104576,4900724508,WARREN E & P INC,17,N,90,W,18,WY,DM FEE,20140519,Approved,V,"ALLEN RIDGE,ALMOND,PINE RIDGE",6989,1400,56007,Pumping Rods
1387908088,4903528359,ENCANA OIL & GAS (USA) INC,28,N,108,W,4,WY,JONAH FEDERAL,20140519,Approved,H,LANCE POOL,7104,12330,56035,Active
1387908088,4903528359,ENCANA OIL & GAS (USA) INC,28,N,108,W,4,WY,JONAH FEDERAL,20140519,Approved,H,LANCE POOL,7104,12330,56035,Active
1656558529,4900724507,WARREN E & P INC,17,N,90,W,18,WY,DM FEE,20140519,Approved,V,"ALLEN RIDGE,ALMOND,PINE RIDGE",7029,1300,56007,Pumping Rods
1039449168,4903527279,ENCANA OIL & GAS (USA) INC,28,N,108,W,4,WY,JONAH FEDERAL,20140519,Approved,V,LANCE POOL,7105,12250,56035,Active
1695705498,4902121163,EOG RESOURCES INC,13,N,65,W,17,WY,JUBILEE,20140520,Approved,H,NIOBRARA,6026,18292,56021,Active Permit
1695705498,4902121163,EOG RESOURCES INC,13,N,65,W,20,WY,JUBILEE,20140520,Approved,H,NIOBRARA,6026,18292,56021,Active Permit
320656218,4900929628,MBI OIL& GAS LLC,35,N,68,W,10,WY,FEDERAL,20140520,Approved,H,TEAPOT,4676,11290,56009,Active Permit
320656218,4900929628,MBI OIL& GAS LLC,35,N,68,W,10,WY,FEDERAL,20140520,Approved,H,TEAPOT,4676,11290,56009,Active Permit
476185074,4900929631,SAMSON RESOURCES COMPANY,39,N,74,W,22,WY,HARDY FEDERAL,20140516,Approved,H,FRONTIER,5233,21932,56009,Active Permit
476185074,4900929631,SAMSON RESOURCES COMPANY,39,N,74,W,34,WY,HARDY FEDERAL,20140516,Approved,H,FRONTIER,5233,21932,56009,Active Permit
1354844293,4900929625,MBI OIL& GAS LLC,35,N,68,W,13,WY,FEDERAL,20140520,Approved,H,TEAPOT,4778,10874,56009,Active Permit
1354844293,4900929625,MBI OIL& GAS LLC,35,N,68,W,13,WY,FEDERAL,20140520,Approved,H,TEAPOT,4778,10874,56009,Active Permit
1961120943,4903527685,ENCANA OIL & GAS USA INC,29,N,108,W,11,WY,STUD HORSE BUTTE,20140520,Approved,V,LANCE POOL,7209,13876,56035,Active Permit
417710859,4903529228,ENCANA OIL AND GAS USA INC,29,N,108,W,35,WY,STUD HORSE BUTTE,20140520,Approved,V,LANCE POOL,7087,12788,56035,Active Permit
825546942,4903529234,ENCANA OIL AND GAS USA INC,29,N,108,W,36,WY,STUD HORSE BUTTE,20140520,Approved,H,LANCE POOL,7051,12815,56035,Active Permit
825546942,4903529234,ENCANA OIL AND GAS USA INC,29,N,108,W,36,WY,STUD HORSE BUTTE,20140520,Approved,H,LANCE POOL,7051,12815,56035,Active Permit
528782947,4903529232,ENCANA OIL AND GAS USA INC,29,N,108,W,36,WY,STUD HORSE BUTTE,20140520,Approved,H,LANCE POOL,7060,12810,56035,Active Permit
528782947,4903529232,ENCANA OIL AND GAS USA INC,29,N,108,W,36,WY,STUD HORSE BUTTE,20140520,Approved,H,LANCE POOL,7060,12810,56035,Active Permit
244405893,4903528811,ENCANA OIL AND GAS USA INC,29,N,108,W,11,WY,STUD HORSE BUTTE,20140520,Approved,H,LANCE POOL,7207,13880,56035,Active Permit
244405893,4903528811,ENCANA OIL AND GAS USA INC,29,N,108,W,11,WY,STUD HORSE BUTTE,20140520,Approved,H,LANCE POOL,7207,13880,56035,Active Permit
589122818,4903529229,ENCANA OIL AND GAS USA INC,29,N,108,W,35,WY,STUD HORSE BUTTE,20140520,Approved,H,LANCE POOL,7087,12700,56035,Active Permit
589122818,4903529229,ENCANA OIL AND GAS USA INC,29,N,108,W,35,WY,STUD HORSE BUTTE,20140520,Approved,H,LANCE POOL,7087,12700,56035,Active Permit
60586743,4902121165,EOG RESOURCES INC,13,N,65,W,30,WY,JUBILEE,20140520,Approved,H,NIOBRARA,6080,18083,56021,Active Permit
60586743,4902121165,EOG RESOURCES INC,13,N,65,W,31,WY,JUBILEE,20140520,Approved,H,NIOBRARA,6080,18083,56021,Active Permit
1900604283,4903528812,ENCANA OIL AND GAS USA INC,29,N,108,W,11,WY,STUD HORSE BUTTE,20140520,Approved,V,LANCE POOL,7227,13982,56035,Active Permit
1084659136,4900929635,HELIS OIL & GAS COMPANY LLC  ESTATE,37,N,75,W,23,WY,MBU HENRY,20140520,Approved,H,1ST FRONTIER,5503,22781,56009,Active Permit
1084659136,4900929635,HELIS OIL & GAS COMPANY LLC  ESTATE,37,N,75,W,35,WY,MBU HENRY,20140520,Approved,H,1ST FRONTIER,5503,22781,56009,Active Permit
1764081373,4903529231,ENCANA OIL AND GAS USA INC,29,N,108,W,36,WY,STUD HORSE BUTTE,20140520,Approved,V,LANCE POOL,7064,12800,56035,Active Permit
1579139738,4900929627,MBI OIL& GAS LLC,35,N,68,W,2,WY,MOORE,20140520,Approved,H,TEAPOT,4612,10367,56009,Active Permit
